Time (day), Net assimilation rate (mol.m-1.day-1), Elapsed assimilation rate (mol.m-2), Canopy conductance (mol.m-2.day-1), Evapo/Transpiration (mol.m-2.day-1), Cumulative evapo/transpiration (mol.m-2), leaf area index (m2.m-2),Air temperature (oC), Daily mean temperature (oC), Daily highest temperature (oC), Daily lowest temperature (oC), Elapsed thermal time (days), Elapased thermal time (hours), Relative Humidity, Leaf biomass (g.m-2), Stem biomass (g.m-2), Standing dead (g.m-2), Surface litter dead (g.m-2), Seed (g.m-2), Pod (g.m-2), Structual root (g.m-2), Fine root (g.m-2), Storage (g.m-2), Root dead material (g.m-2)
100.0,5.526259041260619E-5,5.526259041260619E-5,0.002000050247111564,0.0,0.0,1.0E-4,1.248136143611982,4.9371565060883,9.587064907711847,0.28724810446475324,0.0,0.0,0.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
101.0,5.6656083165483487E-5,1.1191867357808968E-4,0.0020000502084475944,0.0,0.0,1.0E-4,1.4403564698186129,5.180955074614533,9.895876427845074,0.46603372138399113,0.0,0.0,0.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
102.0,5.805214909263765E-5,1.6997082267072733E-4,0.002000050169033705,0.0,0.0,1.0E-4,1.633702676835299,5.426181630155665,10.20649673153051,0.6458665287808207,0.0,0.0,0.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
103.0,5.943914270948312E-5,2.2940996538021045E-4,0.0020000501288664385,0.0,0.0,1.0E-4,1.828117472008148,5.672763506790865,10.51883377526843,0.8266932383133012,0.0,0.0,0.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
104.0,6.0818187184528E-5,2.9022815256473847E-4,0.0020000500879427383,0.0,0.0,1.0E-4,2.0235432460375375,5.920627636988417,10.832795006851995,1.008460267124839,0.0,0.0,0.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
105.0,6.219270021054967E-5,3.5242085277528815E-4,0.0020000500462600017,0.0,0.0,1.0E-4,2.2199220900489873,6.169700573257195,11.148287392792447,1.1911137537219432,0.0,0.0,0.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
106.0,6.35648085100167E-5,4.1598566128530484E-4,0.0020000500038160293,0.0,0.0,1.0E-4,2.417195812752813,6.419908509910748,11.465217445886948,1.3745995739345478,0.0,0.0,0.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
107.0,6.493420255935388E-5,4.8091986384465874E-4,0.0020000499606091,0.0,0.0,1.0E-4,2.6153059576874647,6.671177304937517,11.783491252920856,1.5588633569541788,0.0,0.0,0.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
108.0,6.630239548037152E-5,5.472222593250303E-4,0.0020000499166380236,0.0,0.0,1.0E-4,2.8141938205414307,6.923432501970712,12.103014502496237,1.7438505014451886,0.0,0.0,0.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
109.0,6.766975214144326E-5,6.148920114664735E-4,0.0020000498719020877,0.0,0.0,1.0E-4,3.013800466548595,7.176599352351337,12.42369251297836,1.9295061917243137,0.0,0.0,0.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
110.0,6.90308852113148E-5,6.839228966777883E-4,0.0020000498264011314,0.0,0.0,1.0E-4,3.2140667479518807,7.430602837277837,12.745430260551927,2.115775414003747,0.0,0.0,0.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
111.0,7.037380172481217E-5,7.542966984026005E-4,0.0020000497801355745,0.0,0.0,1.0E-4,3.4149333215300075,7.685367690035783,13.068132407378659,2.302602972692907,0.0,0.0,0.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
112.0,7.171443322853863E-5,8.260111316311391E-4,0.0020000497331064283,0.0,0.0,1.0E-4,3.616340666182169,7.940818418301028,13.391703329847969,2.4899335067540864,0.0,0.0,0.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
113.0,7.305759524043936E-5,8.990687268715785E-4,0.002000049685315296,0.0,0.0,1.0E-4,3.8182291005654205,8.196879326509709,13.716047146912299,2.67771150610712,0.0,0.0,0.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
114.0,7.440291209744789E-5,9.734716389690264E-4,0.002000049636764464,0.0,0.0,1.0E-4,4.0205388007795415,8.453474538288477,14.041067748498737,2.865881328078216,0.0,0.0,0.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
115.0,7.575012540871837E-5,0.0010492217643777448,0.0020000495874568443,0.0,0.0,1.0E-4,4.223209818094162,8.710528018938303,14.366668823988517,3.0543872138880896,0.0,0.0,0.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
116.0,7.709906320678527E-5,0.00112632082758453,0.0020000495373960667,0.0,0.0,1.0E-4,4.426182096712847,8.967963597965202,14.692753890755922,3.2431733051744818,0.0,0.0,0.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
117.0,7.844960896169262E-5,0.0012047704365462228,0.0020000494865864468,0.0,0.0,1.0E-4,4.629395491568945,9.225704991651194,15.019226322758179,3.432183660544209,0.0,0.0,0.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
118.0,7.980167327447169E-5,0.0012845721098206945,0.002000049435033075,0.0,0.0,1.0E-4,4.832789786147856,9.483675825658814,15.34598937916783,3.6213622721497973,0.0,0.0,0.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
119.0,8.11551697670747E-5,0.0013657272795877691,0.002000049382741764,0.0,0.0,1.0E-4,5.036304710330486,9.74179965766248,15.672946233039141,3.8106530822858184,0.0,0.0,0.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
