Time (day), Net assimilation rate (mol.m-1.day-1), Elapsed assimilation rate (mol.m-2), Canopy conductance (mol.m-2.day-1), Evapo/Transpiration (mol.m-2.day-1), Cumulative evapo/transpiration (mol.m-2), leaf area index (m2.m-2),Air temperature (oC), Daily mean temperature (oC), Daily highest temperature (oC), Daily lowest temperature (oC), Elapsed thermal time (days), Elapased thermal time (hours), Relative Humidity, Leaf biomass (g.m-2), Stem biomass (g.m-2), Standing dead (g.m-2), Surface litter dead (g.m-2), Seed (g.m-2), Pod (g.m-2), Structual root (g.m-2), Fine root (g.m-2), Storage (g.m-2), Root dead material (g.m-2)
100.0,2.056744363368599E-4,2.056744363368599E-4,0.0,0.0,0.0,1.0E-4,1.248136143611982,4.9371565060883,9.587064907711847,0.28724810446475324,0.0,0.0,0.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
101.0,2.0721627317113532E-4,4.1289070950799523E-4,0.0,0.0,0.0,1.0E-4,1.4403564698186129,5.180955074614533,9.895876427845074,0.46603372138399113,0.0,0.0,0.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
102.0,2.087373955422891E-4,6.216281050502844E-4,0.0,0.0,0.0,1.0E-4,1.633702676835299,5.426181630155665,10.20649673153051,0.6458665287808207,0.0,0.0,0.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
103.0,2.102397338752858E-4,8.318678389255702E-4,0.0,0.0,0.0,1.0E-4,1.828117472008148,5.672763506790865,10.51883377526843,0.8266932383133012,0.0,0.0,0.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
104.0,2.1172485830583837E-4,0.0010435926972314085,0.0,0.0,0.0,1.0E-4,2.0235432460375375,5.920627636988417,10.832795006851995,1.008460267124839,0.0,0.0,0.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
105.0,2.1319373617590995E-4,0.0012567864334073185,0.0,0.0,0.0,1.0E-4,2.2199220900489873,6.169700573257195,11.148287392792447,1.1911137537219432,0.0,0.0,0.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
106.0,2.1464675263679138E-4,0.0014714331860441099,0.0,0.0,0.0,1.0E-4,2.417195812752813,6.419908509910748,11.465217445886948,1.3745995739345478,0.0,0.0,0.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
107.0,2.160838358648293E-4,0.0016875170219089392,0.0,0.0,0.0,1.0E-4,2.6153059576874647,6.671177304937517,11.783491252920856,1.5588633569541788,0.0,0.0,0.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
108.0,2.1750459709637008E-4,0.0019050216190053093,0.0,0.0,0.0,1.0E-4,2.8141938205414307,6.923432501970712,12.103014502496237,1.7438505014451886,0.0,0.0,0.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
109.0,2.1890844992306937E-4,0.0021239300689283786,0.0,0.0,0.0,1.0E-4,3.013800466548595,7.176599352351337,12.42369251297836,1.9295061917243137,0.0,0.0,0.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
110.0,2.2029470060909532E-4,0.002344224769537474,0.0,0.0,0.0,1.0E-4,3.2140667479518807,7.430602837277837,12.745430260551927,2.115775414003747,0.0,0.0,0.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
111.0,2.2166261198020224E-4,0.002565887381517676,0.0,0.0,0.0,1.0E-4,3.4149333215300075,7.685367690035783,13.068132407378659,2.302602972692907,0.0,0.0,0.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
112.0,2.2301144645384206E-4,0.0027888988279715183,0.0,0.0,0.0,1.0E-4,3.616340666182169,7.940818418301028,13.391703329847969,2.4899335067540864,0.0,0.0,0.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
113.0,2.2434049372800055E-4,0.003013239321699519,0.0,0.0,0.0,1.0E-4,3.8182291005654205,8.196879326509709,13.716047146912299,2.67771150610712,0.0,0.0,0.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
114.0,2.2564908764190854E-4,0.0032388884093414276,0.0,0.0,0.0,1.0E-4,4.0205388007795415,8.453474538288477,14.041067748498737,2.865881328078216,0.0,0.0,0.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
115.0,2.2693661560413647E-4,0.003465825024945564,0.0,0.0,0.0,1.0E-4,4.223209818094162,8.710528018938303,14.366668823988517,3.0543872138880896,0.0,0.0,0.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
116.0,2.282025230319494E-4,0.003694027547977513,0.0,0.0,0.0,1.0E-4,4.426182096712847,8.967963597965202,14.692753890755922,3.2431733051744818,0.0,0.0,0.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
117.0,2.2944631451578607E-4,0.003923473862493299,0.0,0.0,0.0,1.0E-4,4.629395491568945,9.225704991651194,15.019226322758179,3.432183660544209,0.0,0.0,0.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
118.0,2.305854422911694E-4,0.004154059304784468,0.0,0.0,0.0,1.0E-4,4.832789786147856,9.483675825658814,15.34598937916783,3.6213622721497973,0.0,0.0,0.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
119.0,2.3168135574111985E-4,0.004385740660525588,0.0,0.0,0.0,1.0E-4,5.036304710330486,9.74179965766248,15.672946233039141,3.8106530822858184,0.0,0.0,0.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
120.0,2.3275705081416377E-4,0.004618497711339752,0.0,0.0,0.0,0.004917025199754149,5.23987995825259,10.0,16.0,4.0,0.0,0.0,0.7,0.24585125998770746,0.05764427079997438,0.0,0.0,0.0,0.0,0.25619675911099726,0.0061462814996926865,0.0,0.0
121.0,0.008833293454666814,0.013451791166006566,0.0,0.011188034609445821,0.011188034609445821,0.01269187505981872,5.443455206174694,10.25820034233752,16.32705376696086,4.1893469177141816,7.066404005684459,169.593696136427,0.7,0.634593752990936,0.26019472110300806,0.0,0.0,0.0,0.0,0.4182371193534242,0.04502053080001555,0.0,0.0
122.0,0.024922264035727094,0.03837405520173366,0.0,0.011188195004533807,0.02237622961397963,0.023432150526430967,5.6469701303573245,10.516324174341186,16.654010620832167,4.378637727850203,14.283842855018738,342.8122285204497,0.7,1.1716075263215484,0.5400004628595272,0.0,0.0,0.0,0.0,0.6420817127586395,0.0987219081330768,0.0,0.0
123.0,0.0470319849439921,0.08540604014572575,0.0,0.011188354872819238,0.03356458448679887,0.038247552731588294,5.850364424936235,10.774295008348806,16.98077367724182,4.567816339455791,21.652227024969527,519.6534485992686,0.7,1.9123776365794147,0.9259714387736848,0.0,0.0,0.0,0.0,0.9508584934899655,0.17279891915886345,0.0,0.0
124.0,0.07721444197572414,0.1626204821214499,0.0,0.011188514169627654,0.04475309865642652,0.05862597476401565,6.053577819792333,11.032036402034798,17.307246109244076,4.756826694825518,30.022502028611548,720.5400486866772,0.7,2.9312987382007822,1.456870251409938,0.0,0.0,0.0,0.0,1.3755775435989683,0.2746910293210002,0.0,0.0
125.0,0.11803357412560847,0.28065405624705836,0.0,0.011188672850816102,0.055941771507242624,0.08652784181147508,6.256550098411019,11.289471981061697,17.63333117601148,4.94561278611191,38.56411541341606,925.5387699219855,0.7,4.326392090573754,2.1837699133297566,0.0,0.0,0.0,0.0,1.9570972731348228,0.41420036455829734,0.0,0.0
126.0,0.17253146903615987,0.4531855252832182,0.0,0.011188830872780177,0.0671306023800228,0.12447420363853105,6.459221115725639,11.546525461711523,17.958932251501263,5.134118671921784,47.27681287064446,1134.6435088954672,0.7,6.223710181926553,3.172348833022001,0.0,0.0,0.0,0.0,2.7479604088886185,0.6039321736935772,0.0,0.0
127.0,0.2440390382823534,0.6972245635655716,0.0,0.011188988192460662,0.07831959057248347,0.17559990423842123,6.66153081593976,11.803120673490291,18.2839528530877,5.32228849389288,56.160289395655205,1347.8469454957249,0.7,8.779995211921062,4.504275991095744,0.0,0.0,0.0,0.0,3.8135021353476124,0.8595606766930282,0.0,0.0
128.0,0.3357393503385606,1.0329639139041322,0.0,0.01118914476734953,0.089508735339833,0.2436262269598309,6.863419250323012,12.059181581698972,18.60829667015203,5.510066493245914,65.21418937828324,1565.1405450787977,0.7,12.181311347991546,6.276498290905735,0.0,0.0,0.0,0.0,5.231279975195605,1.1996922903000766,0.0,0.0
129.0,0.44993684252008936,1.4829007564242216,0.0,0.012762461837828417,0.10227119717766142,0.33269879496321864,7.064826594975173,12.314632309964217,18.93186759262134,5.697397027307093,74.43810670821497,1786.5145609971594,0.7,16.63493974816093,8.597017539953193,0.0,0.0,0.0,0.0,7.0876953744335704,1.6450551303170151,0.0,0.0
130.0,0.5876130008963703,2.070513757320592,0.0,0.012762649321601536,0.11503384649926296,0.4471435690949919,7.2656931685533,12.569397162722163,19.254569739448073,5.884224585996253,84.66584259325319,2031.9802222380765,0.7,22.357178454749597,11.578533704565938,0.0,0.0,0.0,0.0,9.472908306123767,2.217279000975882,0.0,0.0
131.0,0.7460128952205007,2.816526652541093,0.0,0.012762835754351826,0.1277966822536148,0.5907778681829461,7.465959449956586,12.823400647648663,19.57630748702164,6.070493808275686,95.08163949287531,2281.9593478290076,0.7,29.538893409147306,15.32049560516322,0.0,0.0,0.0,0.0,12.466477826601592,2.935450496415653,0.0,0.0
132.0,0.9190622570862667,3.7355889096273596,0.0,0.012763021087373231,0.14055970334098802,0.7662983995910956,7.66556609596375,13.076567498029288,19.896985497503763,6.256149498554811,105.68487797329058,2536.437071358974,0.7,38.31491997955478,19.893157883409863,0.0,0.0,0.0,0.0,16.124607649198904,3.8130531534564005,0.0,0.0
133.0,1.097451734247139,4.833040643874499,0.0,0.012763205272654314,0.15332290861364234,0.9746849193307816,7.864453958817716,13.328822695062483,20.216508747079146,6.441136643045821,116.47488305772254,2795.397193385341,0.7,48.73424596653908,25.322045150694642,0.0,0.0,0.0,0.0,20.467717463026727,4.85498575215483,0.0,0.0
134.0,1.2701856450141882,6.1032262888886875,0.0,0.012763388262882234,0.16608629687652457,1.2148895562187034,8.062564103752369,13.580091490089252,20.53478255411305,6.625400426065452,127.45092442641918,3058.82218623406,0.7,60.744477810935166,31.579858258627915,0.0,0.0,0.0,0.0,25.473967949373346,6.056008936594439,0.0,0.0
135.0,1.4268542137226408,7.530080502611328,0.0,0.012763570011446219,0.17884986688797078,1.4839451577368117,8.259837826456193,13.830299426742805,20.851712607207553,6.808886246278057,138.6122166330625,3326.6931991935,0.7,74.19725788684059,38.589296926244046,0.0,0.0,0.0,0.0,31.08151888346625,7.401286944184982,0.0,0.0
