Time (day), Net assimilation rate (mol.m-1.day-1), Elapsed assimilation rate (mol.m-2), Canopy conductance (mol.m-2.day-1), Evapo/Transpiration (mol.m-2.day-1), Cumulative evapo/transpiration (mol.m-2), leaf area index (m2.m-2),Air temperature (oC), Daily mean temperature (oC), Daily highest temperature (oC), Daily lowest temperature (oC), Elapsed thermal time (days), Elapased thermal time (hours), Relative Humidity, Leaf biomass (g.m-2), Stem biomass (g.m-2), Standing dead (g.m-2), Surface litter dead (g.m-2), Seed (g.m-2), Pod (g.m-2), Structual root (g.m-2), Fine root (g.m-2), Storage (g.m-2), Root dead material (g.m-2)
135.0,1.887716063972219E-5,1.887716063972219E-5,0.0,0.0,0.0,0.34588612912465,6.199999999999999,13.830299426742805,20.851712607207553,6.808886246278057,0.0,0.0,83.94999999999999,7.578365089121082,81.90130083904438,0.0,0.0,0.0,0.0,32.42616409402421,0.0,0.0,0.0
136.0,0.06522551253420278,0.0652443896948425,0.0,-3.775208991803802,-3.775208991803802,0.7080841222546844,5.800000000000001,14.079372363011583,21.167204993148005,6.991539732875161,0.0,0.0,89.75,15.514123118600136,71.982491049423,0.0,0.0,0.0,0.0,29.984412413477393,0.0,0.0,0.0
137.0,0.10989828363924634,0.17514267333408884,0.0,-3.9312898539033934,-7.706498845707195,1.0731605431558164,8.649999999999999,14.327236493209135,21.48116622473157,7.173306761686699,0.0,0.0,93.4,23.512947500543937,63.147521114152696,0.0,0.0,0.0,0.0,27.685222621486687,0.0,0.0,0.0
138.0,0.20820099750953208,0.3833436708436209,0.0,-3.7285284359469717,-11.435027281654166,1.4898332814415387,6.2,14.573818369844336,21.793503268469493,7.35413347121918,0.0,0.0,88.65,32.64224719638411,55.154812803595824,0.0,0.0,0.0,0.0,25.45330145256108,0.0,0.0,0.0
139.0,0.25973652262176095,0.6430801934653818,0.0,-4.208862929873786,-15.643890211527953,1.9214566199805199,6.050000000000001,14.819044925385466,22.104123572154926,7.533966278616008,0.0,0.0,88.0,42.09911454377319,48.00375370893741,0.0,0.0,0.0,0.0,23.334814445627668,0.0,0.0,0.0
140.0,0.2915739413665997,0.9346541348319815,0.0,-4.168195498066509,-19.812085709594463,2.316140226180523,7.45,15.0628434939117,22.41293509228815,7.712751895535247,5.168749999999999,124.04999999999998,87.15,51.58142555527827,41.63639453711707,0.0,0.0,0.0,0.0,21.341845798615154,0.0,0.0,0.0
141.0,0.3664795062620869,1.3011336410940684,0.0,-4.393210267820798,-24.20529597741526,2.7190770423708988,7.55,15.305141832645575,22.71984632135106,7.890437343940088,12.51875,300.45000000000005,91.8,61.940921151383,35.86889422723239,0.0,0.0,0.0,0.0,19.413609462988166,0.0,0.0,0.0
142.0,0.3700423109660548,1.671175952060123,0.0,-3.766485649122811,-27.97178162653807,3.126014774111445,7.0,15.545868143360096,23.024766314922786,8.066969971797404,15.735416666666667,377.65000000000003,78.85,71.90506636450931,30.781137505230987,0.0,0.0,0.0,0.0,17.625786518660238,0.0,0.0,0.0
143.0,0.43083257866062563,2.102008530720749,0.0,-4.471083875917661,-32.44286550245573,3.5343739465458537,8.9,15.784951093654108,23.327604718628535,8.24229746867968,21.010416666666668,504.25,93.4,82.58020445701932,26.171533737231627,0.0,0.0,0.0,0.0,15.900778249854831,0.0,0.0,0.0
144.0,0.4291642037083866,2.5311727344291355,0.0,-4.124507406393316,-36.567372908849045,3.9257801125321214,7.0,16.022319838089594,23.628271794913488,8.416367881265701,25.191666666666666,604.6,86.25,92.84931417880074,22.11552894280353,0.0,0.0,0.0,0.0,14.304657327591203,0.0,0.0,0.0
145.0,0.4107218818731756,2.941894616302311,0.0,-4.087439584715461,-40.654812493564506,4.281467820416975,7.5,16.25790403918475,23.926678449634018,8.589129628735485,29.24375,701.8499999999999,85.5,102.44528472554882,18.58284583515259,0.0,0.0,0.0,0.0,12.846391565785249,0.0,0.0,0.0
146.0,0.48145795856567497,3.423352574867986,0.0,-4.075690047353357,-44.73050254091786,4.65759214061342,6.25,16.491633888256466,24.22273625845819,8.76053151805474,34.324999999999996,823.8,85.3,113.05292780654706,15.322791025396059,0.0,0.0,0.0,0.0,11.412367107534639,0.0,0.0,0.0
147.0,0.38696751726626466,3.810320092134251,0.0,-4.069024858566389,-48.79952739948425,4.956392442784355,5.85,16.72344012610616,24.5163574930678,8.930522759144516,38.318749999999994,919.6499999999999,85.3,121.64498346557201,12.652386682623824,0.0,0.0,0.0,0.0,10.19040835563965,0.0,0.0,0.0
148.0,0.2784149740559642,4.088735066190215,0.0,-4.39419018240476,-53.193717581889004,5.177512769321925,7.75,16.953254063542765,24.80745514715417,9.099052979931361,41.00416666666666,984.0999999999999,92.19999999999999,128.00984902064633,10.531027024373959,0.0,0.0,0.0,0.0,9.181021787122411,0.0,0.0,0.0
149.0,0.438700798494733,4.527435864684948,0.0,-4.195189725770807,-57.388907307659814,5.4944238493133675,6.6,17.181007601736827,25.09594296219998,9.266072241273672,44.53333333333333,1068.8,88.19999999999999,137.14955291416229,8.324940442634633,0.0,0.0,0.0,0.0,8.058702147681508,0.0,0.0,0.0
150.0,0.3801913418786378,4.9076272065635855,0.0,-4.0863630201647,-61.47527032782451,5.687314689674734,11.0,17.406633252399658,25.381735453039568,9.431531051759748,52.5625,1261.5,76.2,145.01986996020398,6.507031720307417,0.0,0.0,0.0,0.0,7.0830898695638504,0.0,0.0,0.0
151.0,0.554837304965706,5.462464511529292,0.0,-3.20113279055988,-64.67640311838439,6.026327844171611,6.7,17.630064157781568,25.664747933189986,9.59538038237315,58.270833333333336,1398.5,60.0,155.95157126959478,4.538170046008802,0.0,0.0,0.0,0.0,5.9746018309910385,0.0,0.0,0.0
152.0,0.013553742657575751,5.476018254186867,0.0,-3.1834071283913854,-67.85981024677577,5.946935017514254,11.55,17.851234110483254,25.944896539945454,9.757571681021053,65.47500000000001,1571.4,60.0,156.72863770760813,3.9498971204833184,0.0,0.0,0.0,0.0,5.567539782696386,0.0,0.0,0.0
153.0,0.37445087402878413,5.850469128215651,0.0,-3.190249780946058,-71.05006002772183,6.091979820268968,7.25,18.070077573074492,26.222098259227693,9.918056886921294,74.36875,1784.8500000000001,60.0,164.10544612253037,2.66981348301339,0.0,0.0,0.0,0.0,4.772253784343641,0.0,0.0,0.0
154.0,0.7132067416333078,6.563675869848959,0.0,-3.183469299177245,-74.23352932689907,6.455713498610413,7.4,18.286529697514297,26.496270950184776,10.076788444843817,83.2,1996.8000000000002,60.0,177.6126476954814,0.8278192202040549,0.0,0.0,0.0,0.0,3.641383222913279,0.0,0.0,0.0
155.0,0.5524650828787907,7.11614095272775,0.0,-3.156325431392449,-77.38985475829152,6.639737880270576,14.3,18.50052634436676,26.76733336953123,10.233719319202292,95.62708333333333,2295.05,60.0,187.98971935741193,0.0,0.0,0.0,0.0,0.0,2.7740757014928423,0.0,0.0,0.0
156.0,0.522372060087134,7.638513012814884,0.0,-3.150686644013517,-80.54054140230504,6.785757116254289,9.15,18.71200410180701,27.035205195622215,10.388803007991807,108.59791666666666,2606.35,60.0,197.72395804499865,0.0,0.0,0.0,0.0,0.0,1.9989996467649478,0.0,0.0,0.0
157.0,0.2785087145013148,7.9170217273161985,0.0,-3.1411697108551895,-83.68171111316023,6.770464516101075,8.8,18.920900304411447,27.2998070522545,10.541993556568393,116.69999999999999,2800.7999999999997,60.0,200.73300315818483,1.2683911413432611,0.0,0.9095302070069938,0.0,0.0,1.9967943884641548,0.0,0.0,0.0
158.0,0.3880515107414483,8.305073238057647,0.0,-3.1434683454210166,-86.82517945858125,6.831640987389012,7.9,19.127153051726893,27.561060532187398,10.693245571266388,123.07291666666666,2953.75,60.0,205.26934624661186,3.0356288365028825,0.0,1.832902021534644,0.0,0.0,1.9939583404069072,0.0,0.0,0.0
159.0,0.6590500369577834,8.96412327501543,0.0,-3.1362186492903943,-89.96139810787164,6.948479931906232,9.95,19.330701226613012,27.818888220376483,10.842514232849542,134.25625,3222.1499999999996,60.0,213.59745621701683,6.036965884608847,0.0,2.7771410142690587,0.0,0.0,1.9895609920843977,0.0,0.0,0.0
160.0,0.6338108327728754,9.597934107788305,0.0,-3.1271377062660854,-93.08853581413773,7.087348662492264,10.100000000000001,19.531484513352662,28.073213716913372,10.989755309791953,142.68125,3424.3500000000004,60.0,221.5321699790714,8.923365986320036,0.0,3.7596893128673363,0.0,0.0,1.985310452771948,0.0,0.0,0.0
