date	time	Temp	Relative_humidity	PPFD
2012/1/5	0	4.5	94.8	0.00 
2012/1/5	1	4.4	95.2	0.00 
2012/1/5	2	4.4	95.5	0.00 
2012/1/5	3	4.4	96.2	0.00 
2012/1/5	4	3.8	95.4	0.00 
2012/1/5	5	3.5	96.9	0.00 
2012/1/5	6	4.3	97.5	0.00 
2012/1/5	7	3.1	97.2	0.46 
2012/1/5	8	3.6	95.4	0.46 
2012/1/5	9	4.2	93.7	10.11 
2012/1/5	10	4.3	90.9	54.47 
2012/1/5	11	4.6	90.2	129.38 
2012/1/5	12	4.9	90.1	112.38 
2012/1/5	13	4.4	92.8	62.74 
2012/1/5	14	3.2	94.9	55.61 
2012/1/5	15	3.6	96.4	15.63 
2012/1/5	16	3.9	96.5	0.69 
2012/1/5	17	3	95.4	0.00 
2012/1/5	18	0.9	97.5	0.00 
2012/1/5	19	1.4	97.7	0.00 
2012/1/5	20	1.3	96.6	0.00 
2012/1/5	21	1.1	94.8	0.00 
2012/1/5	22	0.9	93.6	0.00 
2012/1/5	23	0.8	93.2	0.00 
2012/1/5	0	4.5	94.8	0.00 
2012/1/5	1	4.4	95.2	0.00 
2012/1/5	2	4.4	95.5	0.00 
2012/1/5	3	4.4	96.2	0.00 
2012/1/5	4	3.8	95.4	0.00 
2012/1/5	5	3.5	96.9	0.00 
2012/1/5	6	4.3	97.5	0.00 
2012/1/5	7	3.1	97.2	0.46 
2012/1/5	8	3.6	95.4	0.46 
2012/1/5	9	4.2	93.7	10.11 
2012/1/5	10	4.3	90.9	54.47 
2012/1/5	11	4.6	90.2	129.38 
2012/1/5	12	4.9	90.1	112.38 
2012/1/5	13	4.4	92.8	62.74 
2012/1/5	14	3.2	94.9	55.61 
2012/1/5	15	3.6	96.4	15.63 
2012/1/5	16	3.9	96.5	0.69 
2012/1/5	17	3	95.4	0.00 
2012/1/5	18	0.9	97.5	0.00 
2012/1/5	19	1.4	97.7	0.00 
2012/1/5	20	1.3	96.6	0.00 
2012/1/5	21	1.1	94.8	0.00 
2012/1/5	22	0.9	93.6	0.00 
2012/1/5	23	0.8	93.2	0.00 
2012/1/5	0	4.5	94.8	0.00 
2012/1/5	1	4.4	95.2	0.00 
2012/1/5	2	4.4	95.5	0.00 
2012/1/5	3	4.4	96.2	0.00 
2012/1/5	4	3.8	95.4	0.00 
2012/1/5	5	3.5	96.9	0.00 
2012/1/5	6	4.3	97.5	0.00 
2012/1/5	7	3.1	97.2	0.46 
2012/1/5	8	3.6	95.4	0.46 
2012/1/5	9	4.2	93.7	10.11 
2012/1/5	10	4.3	90.9	54.47 
2012/1/5	11	4.6	90.2	129.38 
2012/1/5	12	4.9	90.1	112.38 
2012/1/5	13	4.4	92.8	62.74 
2012/1/5	14	3.2	94.9	55.61 
2012/1/5	15	3.6	96.4	15.63 
2012/1/5	16	3.9	96.5	0.69 
2012/1/5	17	3	95.4	0.00 
2012/1/5	18	0.9	97.5	0.00 
2012/1/5	19	1.4	97.7	0.00 
2012/1/5	20	1.3	96.6	0.00 
2012/1/5	21	1.1	94.8	0.00 
2012/1/5	22	0.9	93.6	0.00 
2012/1/5	23	0.8	93.2	0.00 
2012/1/5	0	4.5	94.8	0.00 
2012/1/5	1	4.4	95.2	0.00 
2012/1/5	2	4.4	95.5	0.00 
2012/1/5	3	4.4	96.2	0.00 
2012/1/5	4	3.8	95.4	0.00 
2012/1/5	5	3.5	96.9	0.00 
2012/1/5	6	4.3	97.5	0.00 
2012/1/5	7	3.1	97.2	0.46 
2012/1/5	8	3.6	95.4	0.46 
2012/1/5	9	4.2	93.7	10.11 
2012/1/5	10	4.3	90.9	54.47 
2012/1/5	11	4.6	90.2	129.38 
2012/1/5	12	4.9	90.1	112.38 
2012/1/5	13	4.4	92.8	62.74 
2012/1/5	14	3.2	94.9	55.61 
2012/1/5	15	3.6	96.4	15.63 
2012/1/5	16	3.9	96.5	0.69 
2012/1/5	17	3	95.4	0.00 
2012/1/5	18	0.9	97.5	0.00 
2012/1/5	19	1.4	97.7	0.00 
2012/1/5	20	1.3	96.6	0.00 
2012/1/5	21	1.1	94.8	0.00 
2012/1/5	22	0.9	93.6	0.00 
2012/1/5	23	0.8	93.2	0.00 
2012/1/5	0	4.5	94.8	0.00 
2012/1/5	1	4.4	95.2	0.00 
2012/1/5	2	4.4	95.5	0.00 
2012/1/5	3	4.4	96.2	0.00 
2012/1/5	4	3.8	95.4	0.00 
2012/1/5	5	3.5	96.9	0.00 
2012/1/5	6	4.3	97.5	0.00 
2012/1/5	7	3.1	97.2	0.46 
2012/1/5	8	3.6	95.4	0.46 
2012/1/5	9	4.2	93.7	10.11 
2012/1/5	10	4.3	90.9	54.47 
2012/1/5	11	4.6	90.2	129.38 
2012/1/5	12	4.9	90.1	112.38 
2012/1/5	13	4.4	92.8	62.74 
2012/1/5	14	3.2	94.9	55.61 
2012/1/5	15	3.6	96.4	15.63 
2012/1/5	16	3.9	96.5	0.69 
2012/1/5	17	3	95.4	0.00 
2012/1/5	18	0.9	97.5	0.00 
2012/1/5	19	1.4	97.7	0.00 
2012/1/5	20	1.3	96.6	0.00 
2012/1/5	21	1.1	94.8	0.00 
2012/1/5	22	0.9	93.6	0.00 
2012/1/5	23	0.8	93.2	0.00 
2012/1/6	0	0.6	93	0.00 
2012/1/6	1	0.3	91.4	0.00 
2012/1/6	2	0.1	90.8	0.00 
2012/1/6	3	0.1	88.8	0.00 
2012/1/6	4	-0.3	88.6	0.00 
2012/1/6	5	-0.6	88.8	0.00 
2012/1/6	6	-0.6	87.9	0.00 
2012/1/6	7	-0.9	87.6	0.00 
2012/1/6	8	-1	88.6	0.00 
2012/1/6	9	-0.8	88.5	45.96 
2012/1/6	10	0.3	87.6	254.17 
2012/1/6	11	1.3	84.1	331.62 
2012/1/6	12	2.4	77.9	348.39 
2012/1/6	13	2.6	78.7	304.73 
2012/1/6	14	2.7	82.1	211.43 
2012/1/6	15	2.4	84	80.20 
2012/1/6	16	1.6	86.8	2.07 
2012/1/6	17	1.3	89.6	0.00 
2012/1/6	18	1.8	90.9	0.00 
2012/1/6	19	1.8	93.3	0.00 
2012/1/6	20	2.3	94	0.00 
2012/1/6	21	2.6	92.8	0.00 
2012/1/6	22	2.8	90.7	0.00 
2012/1/6	23	2.8	91.5	0.00 
2012/1/7	0	2.8	93.1	0.00 
2012/1/7	1	2.8	94.6	0.00 
2012/1/7	2	3	95	0.00 
2012/1/7	3	2.7	95.6	0.00 
2012/1/7	4	3.1	97	0.00 
2012/1/7	5	3.9	97.7	0.00 
2012/1/7	6	5	98	0.00 
2012/1/7	7	5.6	98.1	0.00 
2012/1/7	8	6	98.3	0.23 
2012/1/7	9	6.2	97.9	28.96 
2012/1/7	10	5.9	96	108.24 
2012/1/7	11	5.9	92.8	179.25 
2012/1/7	12	6	90.2	164.09 
2012/1/7	13	6.2	89.2	118.81 
2012/1/7	14	6.2	88.5	113.76 
2012/1/7	15	5.9	87	50.56 
2012/1/7	16	5.5	86.8	2.53 
2012/1/7	17	5	89.7	0.00 
2012/1/7	18	5	90.9	0.00 
2012/1/7	19	5.2	90	0.00 
2012/1/7	20	5.1	89.7	0.00 
2012/1/7	21	5.2	89.6	0.00 
2012/1/7	22	4.8	93.2	0.00 
2012/1/7	23	5.1	92.3	0.00 
2012/1/8	0	5.1	92.4	0.00 
2012/1/8	1	5.1	93.1	0.00 
2012/1/8	2	4.9	93.3	0.00 
2012/1/8	3	4.7	94.2	0.00 
2012/1/8	4	4.4	95.3	0.00 
2012/1/8	5	4.5	95.4	0.00 
2012/1/8	6	4.3	95	0.00 
2012/1/8	7	3.2	95.5	0.00 
2012/1/8	8	2.6	96.3	0.46 
2012/1/8	9	3.2	96.9	11.26 
2012/1/8	10	3.1	97.1	40.22 
2012/1/8	11	2.5	96.3	139.04 
2012/1/8	12	2.1	92.3	225.21 
2012/1/8	13	2.1	91	173.28 
2012/1/8	14	2.1	89.8	148.00 
2012/1/8	15	2.2	89.5	22.52 
2012/1/8	16	2.1	89.7	1.61 
2012/1/8	17	1.9	90.9	0.00 
2012/1/8	18	1.2	93	0.00 
2012/1/8	19	0.6	94.7	0.00 
2012/1/8	20	0.6	94.2	0.00 
2012/1/8	21	0.5	94.1	0.00 
2012/1/8	22	0.6	94.6	0.00 
2012/1/8	23	0.7	92.2	0.00 
2012/1/9	0	0.8	88.2	0.00 
2012/1/9	1	0.8	88.4	0.00 
2012/1/9	2	0.7	92	0.00 
2012/1/9	3	0.6	92.6	0.00 
2012/1/9	4	0.6	92.4	0.00 
2012/1/9	5	0.4	93.6	0.00 
2012/1/9	6	0.5	94.5	0.00 
2012/1/9	7	0.3	94.2	0.00 
