date	time	Temperature	Relative_humidity	PPFD
2013/1/1	0	7.6	96.3	0.00 
2013/1/1	1	7.1	93.8	0.00 
2013/1/1	2	6.5	92.7	0.00 
2013/1/1	3	5.6	93.2	0.00 
2013/1/1	4	4.8	95.5	0.00 
2013/1/1	5	4.4	96.8	0.00 
2013/1/1	6	3.9	97.4	0.00 
2013/1/1	7	3.8	97.8	0.00 
2013/1/1	8	4.6	98	0.00 
2013/1/1	9	4.1	97.8	11.26 
2013/1/1	10	4	97.9	137.43 
2013/1/1	11	4.3	95.4	224.30 
2013/1/1	12	5	88.9	309.10 
2013/1/1	13	4.7	88.7	275.08 
2013/1/1	14	4.6	89.2	137.43 
2013/1/1	15	4	90.3	43.66 
2013/1/1	16	3	93.7	0.69 
2013/1/1	17	3	93	0.00 
2013/1/1	18	2.6	93.8	0.00 
2013/1/1	19	2.3	93.4	0.00 
2013/1/1	20	1.8	93.8	0.00 
2013/1/1	21	2.1	94.9	0.00 
2013/1/1	22	2.3	96.3	0.00 
2013/1/1	23	2.8	95.7	0.00 
2013/1/2	0	2.4	95.7	0.00 
2013/1/2	1	2.7	96.5	0.00 
2013/1/2	2	2.7	96.9	0.00 
2013/1/2	3	3	97.8	0.00 
2013/1/2	4	3.1	98	0.00 
2013/1/2	5	2.5	97.7	0.00 
2013/1/2	6	2	97.8	0.00 
2013/1/2	7	2.1	97.9	0.00 
2013/1/2	8	1.7	97.2	0.00 
2013/1/2	9	1.8	96.8	64.58 
2013/1/2	10	2.9	95.4	205.91 
2013/1/2	11	4.1	92	284.28 
2013/1/2	12	5	90.9	373.90 
2013/1/2	13	5.6	88.2	352.53 
2013/1/2	14	5.4	87.1	206.37 
2013/1/2	15	5	87.7	34.24 
2013/1/2	16	4.8	88.8	0.69 
2013/1/2	17	4.7	91.7	0.00 
2013/1/2	18	4.8	91.5	0.00 
2013/1/2	19	4.9	90.6	0.00 
2013/1/2	20	5	91.1	0.00 
2013/1/2	21	5	92.2	0.00 
2013/1/2	22	4.8	93	0.00 
2013/1/2	23	4.6	93.3	0.00 
2013/1/3	0	4.3	95.4	0.00 
2013/1/3	1	4.6	97.6	0.00 
2013/1/3	2	5.3	97.8	0.00 
2013/1/3	3	6.2	97.8	0.00 
2013/1/3	4	7.1	98.1	0.00 
2013/1/3	5	7.9	98	0.00 
2013/1/3	6	8	97.5	0.00 
2013/1/3	7	8.3	95	0.00 
2013/1/3	8	8.4	94.8	0.23 
2013/1/3	9	8.4	93.5	14.94 
2013/1/3	10	8.3	91.8	82.27 
2013/1/3	11	8.3	89.4	212.58 
2013/1/3	12	8.4	86.5	308.41 
2013/1/3	13	8.2	85.8	247.51 
